Matram,tentram,TAB
AV01,AV01,mua_av_sb
AV02,AV02,mua_av_sb
AV03,AV03,mua_av_sb
AV04,AV04,mua_av_sb
AV05,AV05,mua_av_sb
AV06,AV06,mua_av_sb
AV07,AV07,mua_av_sb
AV00,AV00,mua_av_sb
552800,HIEN,mua_oday_thuyvan
SB2DM,SB2DM,mua_av_sb
SB4DK,SB4DK,mua_av_sb
SB4CV,SB4CV,mua_av_sb
SB4DM,SB4DM,mua_av_sb
SB4ZU,SB4ZU,mua_av_sb
SB4TR,SB4TR,mua_av_sb
SB2CH,SB2CH,mua_av_sb
SB2AX,SB2AX,mua_av_sb
SB4LE,SB4LE,mua_av_sb
SB4DO,SB4DO,mua_av_sb
