Trial       WBL      RMSE Peak_RMSE   Agg_Obj      Umax      Lmax      CQOF      CKIF       CK1       TOF       TIF        TG      CKBF
   56    32.673   123.822   123.822   200.726    17.760   169.567     0.962   612.767    22.633     0.013     0.014     0.792  1241.694
   57    54.524   133.238   133.238   223.377    14.905   215.771     0.550   988.564    41.144     0.693     0.532     0.718  3421.752
   58    48.898   110.646   110.646   193.802    12.470   258.924     0.718   370.127    17.724     0.853     0.752     0.221  2616.572
   59    35.904   121.968   121.968   200.060    19.752   296.873     0.974   640.432    19.651     0.459     0.570     0.759  3660.620
   60    33.057   122.624   122.624   199.439    16.190   133.099     0.951   343.962    16.087     0.415     0.788     0.719  3271.599
   61    66.135   148.002   148.002   247.230    11.725   225.462     0.191   202.188    28.301     0.886     0.614     0.381  2707.478
   62    49.800   120.021   120.021   205.163    19.524   163.415     0.473   346.957    22.394     0.013     0.785     0.469  1745.701
   63    45.824    99.167    99.167   179.022    18.156   257.399     0.541   471.813    10.083     0.839     0.975     0.445  1050.509
   64    51.997   119.897   119.897   206.260    14.126   170.523     0.442   211.026    20.293     0.417     0.865     0.822  2109.719
   65    33.921   128.001   128.001   206.500    17.608   199.823     0.972   254.139    31.252     0.406     0.857     0.774  1764.909
   66    46.696   133.771   133.771   219.920    14.096   223.758     0.885   448.378    42.264     0.973     0.879     0.420  3162.682
   67    50.905   105.075   105.075   188.729    10.947   246.314     0.627   260.372    15.926     0.231     0.949     0.230  3522.899
   68    37.279   130.234   130.234   210.889    11.059   218.026     0.929   911.668    48.560     0.186     0.593     0.652  2835.674
   69    41.880   105.820   105.820   184.158    16.632   253.657     0.770   678.817    10.267     0.280     0.261     0.324  2007.084
   70    60.197   134.390   134.390   227.831    11.401   121.136     0.376   769.529    28.333     0.320     0.953     0.351  3076.081
   71    54.947   127.925   127.925   217.310    10.034   142.476     0.473   289.756    28.595     0.230     0.558     0.187  3077.692
   72    42.785   121.113   121.113   202.609    19.484   271.879     0.712   792.212    30.059     0.463     0.401     0.897  1377.671
   73    43.824   120.413   120.413   202.332    11.264   119.947     0.635   709.011    29.912     0.104     0.003     0.225  1587.017
   74    57.684   138.657   138.657   231.543    14.851   123.230     0.234   704.893    24.521     0.007     0.289     0.247  1566.438
   75    65.907   146.298   146.298   245.070    10.923   251.660     0.208   431.628    27.428     0.803     0.389     0.243  2382.661
   76    62.687   139.816   139.816   235.615    18.880   254.356     0.310   645.935    27.985     0.733     0.938     0.308  2481.846
   77    54.848   131.756   131.756   221.787    15.674   158.421     0.507   585.550    36.009     0.525     0.618     0.807  3435.892
   78    56.497   138.713   138.713   230.981    11.425   110.974     0.393   516.046    39.543     0.889     0.029     0.440  2295.475
   79    35.405   116.606   116.606   193.300    18.979   112.968     0.896   680.155    16.390     0.492     0.516     0.455  2568.299
   80    63.104   140.867   140.867   237.090    11.517   114.527     0.328   855.739    32.759     0.878     0.102     0.837  3265.648
   81    53.698   128.730   128.730   217.572    12.332   281.067     0.403   418.019    25.430     0.614     0.962     0.207  1437.834
   82    42.044   128.126   128.126   210.681    14.053   100.663     0.779   375.370    40.827     0.836     0.789     0.682  3683.652
   83    68.089   143.386   143.386   242.797    16.670   145.451     0.130   430.207    10.214     0.801     0.309     0.393  2710.862
   84    38.172   117.679   117.679   196.044    19.536   288.630     0.892   419.877    12.912     0.678     0.409     0.742  2657.149
   85    62.577   145.148   145.148   241.920    12.264   147.985     0.282   576.223    38.172     0.931     0.437     0.483  2485.640
   86    58.708   136.977   136.977   230.085    10.516   276.229     0.518   814.200    43.139     0.795     0.731     0.633  3925.294
   87    46.527   102.888   102.888   183.601    18.138   151.787     0.656   752.765    14.693     0.041     0.181     0.816  3347.124
   88    57.989   125.897   125.897   216.647    14.395   184.946     0.212   879.479     9.846     0.524     0.053     0.627  1408.002
   89    55.563   119.454   119.454   207.801    13.314   160.747     0.388   659.601    17.266     0.192     0.576     0.811  2103.616
   90    42.627   104.301   104.301   182.857    17.101   244.299     0.714   503.711    14.287     0.345     0.933     0.826  1854.334
   91    35.996   114.672   114.672   191.284    16.587   107.666     0.840   324.927    22.312     0.089     0.371     0.163  1456.948
   92    37.084   125.546   125.546   205.027    19.035   259.681     0.902   879.539    32.925     0.054     0.005     0.783  2017.586
   93    64.853   147.272   147.272   245.673    14.665   170.749     0.316   448.761    48.571     0.495     0.241     0.576  3733.818
   94    55.783   137.985   137.985   229.730    17.048   295.905     0.482   678.502    38.840     0.960     0.888     0.009  1403.989
   95    58.971   134.725   134.725   227.555    12.890   228.478     0.309   502.851    24.280     0.400     0.190     0.172  1989.956
   96    61.207   119.309   119.309   210.974    18.711   243.278     0.314   767.544    11.100     0.488     0.418     0.027  2402.824
   97    53.058   134.729   134.729   224.381    16.503   219.545     0.522   633.367    44.331     0.460     0.113     0.287  2344.056
   98    46.677   132.951   132.951   218.914    12.728   227.490     0.564   972.515    46.900     0.581     0.078     0.038  1086.788
   99    59.565   133.724   133.724   226.697    10.311   161.598     0.454   370.493    31.328     0.864     0.190     0.373  3856.241
  100    36.266   120.241   120.241   198.143    16.672   162.239     0.960   294.909    24.654     0.284     0.559     0.198  3072.231
  101    42.166   130.297   130.297   213.389    15.285   213.537     0.877   802.162    42.390     0.851     0.711     0.386  2497.652
  102    62.882   142.072   142.072   238.404    19.288   199.831     0.353   411.379    37.319     0.511     0.982     0.579  3617.437
  103    55.723   133.111   133.111   223.872    12.283   214.171     0.497   793.548    33.033     0.935     0.208     0.281  2338.072
  104    45.431   120.476   120.476   203.278    15.879   156.994     0.585   817.200    28.302     0.010     0.435     0.496  1425.069
  105    47.692   106.968   106.968   188.903    13.539   262.161     0.661   400.795    17.428     0.322     0.116     0.913  3694.293
  106    42.217   103.852   103.852   182.103    17.240   244.726     0.708   549.280    11.001     0.194     0.535     0.855  1663.546
  107    46.763   118.867   118.867   202.111    14.956   273.872     0.539   487.174    23.395     0.955     0.663     0.908  1132.041
  108    51.503   132.126   132.126   220.435    16.309   223.668     0.581   487.382    40.902     0.625     0.943     0.167  2301.207
  109    42.709   120.653   120.653   202.019    14.330   209.755     0.748   209.637    27.724     0.783     0.697     0.898  3277.251
  110    51.257   133.660   133.660   222.147    15.099   127.614     0.554   405.687    43.835     0.642     0.965     0.298  2650.678
  111    52.254   116.548   116.548   202.534    11.487   290.195     0.583   357.078    21.264     0.652     0.714     0.300  2613.222
  112    51.729   138.535   138.535   228.284    12.229   181.851     0.382   521.815    46.815     0.024     0.103     0.622  1240.490
  113    58.147   127.357   127.357   218.437    16.889   281.122     0.207   320.423    10.145     0.256     0.655     0.676  1407.071
  114    45.793   101.267   101.267   181.338    14.018   281.724     0.619   285.995    14.963     0.011     0.096     0.239  1678.868
  115    51.347   104.080   104.080   187.897    16.150   212.950     0.562   542.309    14.138     0.427     0.705     0.897  3152.727
  116    42.041   120.300   120.300   201.240    11.520   127.371     0.792   933.004    29.934     0.231     0.034     0.019  3183.601
  117    60.484   137.841   137.841   232.073    12.955   144.692     0.367   892.384    33.325     0.390     0.205     0.592  2957.236
  118    45.477   104.747   104.747   185.061    15.616   251.425     0.689   650.002     9.459     0.178     0.498     0.680  2824.722
  119    49.043   104.362   104.362   186.790    15.559   248.767     0.648   346.143    14.348     0.806     0.261     0.155  2268.102
  120    49.344   117.148   117.148   201.553    13.293   284.296     0.523   758.925    20.121     0.839     0.276     0.196  1256.677
  121    57.765   140.909   140.909   234.289    13.416   155.684     0.408   846.474    48.458     0.255     0.680     0.847  2532.916
  122    38.120   129.263   129.263   210.103    18.437   124.660     0.865   344.094    42.782     0.793     0.338     0.695  3215.587
  123    47.131   123.359   123.359   207.625    19.307   277.537     0.992   715.630     9.750     0.946     0.497     0.335  3952.754
  124    37.425   117.192   117.192   195.064    17.334   279.326     0.927   246.406    22.544     0.266     0.546     0.493  2102.773
  125    55.955   112.017   112.017   199.583    11.502   191.509     0.476   786.838    15.556     0.719     0.388     0.661  3080.653
  126    41.317   125.274   125.274   206.846    15.391   285.627     0.995   768.899    30.696     0.752     0.587     0.244  2452.825
  127    52.448   125.611   125.611   213.202    12.689   241.991     0.543   995.773    30.745     0.049     0.130     0.940  2574.319
  128    63.568   147.750   147.750   245.570    16.631   233.459     0.267   547.453    44.008     0.879     0.034     0.058  2250.664
  129    64.090   135.602   135.602   231.420    10.833   235.318     0.348   633.492    25.540     0.173     0.715     0.497  3613.418
  130    65.282   142.845   142.845   240.622    13.375   200.696     0.236   654.814    24.058     0.976     0.162     0.731  2565.609
  131    42.150   125.408   125.408   207.438    10.325   136.003     0.649   868.542    37.834     0.212     0.917     0.584  1143.888
  132    61.405   115.810   115.810   207.158    18.399   274.599     0.339   223.979    10.114     0.392     0.813     0.205  3314.307
  133    63.989   120.942   120.942   214.492    12.484   235.284     0.288   202.322     9.289     0.742     0.122     0.485  3623.785
  134    68.129   152.559   152.559   253.752    16.842   176.680     0.171   525.849    45.788     0.674     0.491     0.318  2760.323
  135    39.367   129.670   129.670   211.220    17.134   131.213     0.830   528.092    48.483     0.288     0.474     0.812  3029.410
  136    50.384   125.998   125.998   212.526    19.290   234.316     0.605   339.466    32.679     0.290     0.330     0.177  3046.681
  137    44.626   128.087   128.087   211.963    12.695   298.641     0.980   721.695    35.000     0.940     0.267     0.057  1316.017
  138    58.907   121.956   121.956   212.626    17.149   122.920     0.386   515.011    17.515     0.538     0.293     0.965  3391.158
  139    44.613   104.195   104.195   183.918    19.407   191.982     0.597   696.443    16.079     0.410     0.637     0.409  1319.843
  140    36.755   121.792   121.792   200.278    17.676   220.635     0.899   535.515    11.712     0.485     0.034     0.730  3625.741
  141    64.548   147.789   147.789   246.133    10.807   222.341     0.121   783.794    21.547     0.688     0.607     0.471  1701.742
  142    34.269   117.919   117.919   194.301    18.829   138.083     0.915   229.124    19.187     0.260     0.247     0.706  3342.492
  143    57.165   143.317   143.317   236.881    18.453   264.054     0.347   469.168    49.881     0.847     0.242     0.605  1710.225
  144    47.035   101.674   101.674   182.556    16.493   111.447     0.585   558.212    14.224     0.119     0.320     0.677  2327.407
  145    53.590   121.382   121.382   208.893    11.625   138.239     0.359   250.404    17.013     0.790     0.682     0.761  1769.356
  146    52.382   124.288   124.288   211.608    16.477   169.013     0.506   250.173    26.475     0.017     0.973     0.447  2734.779
  147    73.082   155.266   155.266   259.624    13.207   153.893     0.149   877.628    40.843     0.735     0.418     0.142  3490.876
  148    50.619   125.010   125.010   211.485    14.108   151.394     0.558   592.281    30.778     0.288     0.852     0.978  2712.969
  149    43.634   112.837   112.837   193.293    12.169   207.085     0.687   597.933    22.598     0.066     0.614     0.909  1917.821
